Time in Seconds,GSR (Resistance)
39,0
39,0
39,0
39,0
Event,11
39,0
39,0
39,0
39,0
Event,12
39,0
39,0
39,0
Event,13
39,0
39,0
39,0
39,0
Event,14
39,0
39,0
39,0
39,0
Event,15
40,0
40,0
40,0
40,0
Event,16
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
